epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,18186,0.48779,0.31816,0.80252,0.99931,1,0.995,0.91508,0.41261,0.29478,0.81765,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,18440.5,0.50908,0.32238,0.80795,0.9993,1,0.995,0.92363,0.40882,0.29063,0.81503,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,18694.5,0.50304,0.32387,0.78742,0.99921,1,0.995,0.92515,0.37408,0.28927,0.81212,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,21643.2,0.5098,0.31687,0.80956,0.9991,1,0.995,0.92087,0.4083,0.29335,0.81777,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,28926.1,0.46386,0.31732,0.79522,0.99899,1,0.995,0.92537,0.37279,0.29288,0.80914,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,50442.8,0.48897,0.32283,0.79285,0.99852,1,0.995,0.91743,0.42576,0.31212,0.81467,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,50699.9,0.4839,0.31646,0.79386,0.99877,1,0.995,0.92253,0.38451,0.29545,0.81015,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,51762.7,0.47342,0.31437,0.80704,0.9988,1,0.995,0.92685,0.3873,0.29122,0.81319,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,52020.1,0.46599,0.30875,0.80005,0.99886,1,0.995,0.91768,0.42762,0.29803,0.81688,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,52277.9,0.46738,0.3162,0.79836,0.99913,1,0.995,0.93658,0.36796,0.29246,0.81142,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,52535.4,0.43731,0.29754,0.79413,0.99923,1,0.995,0.93404,0.38789,0.28397,0.80827,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,52793.1,0.44541,0.30196,0.7847,0.99917,1,0.995,0.94377,0.35842,0.27646,0.80799,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,53049.7,0.43024,0.29557,0.80563,0.99925,1,0.995,0.94435,0.37006,0.28587,0.80772,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
